response_gain, saturation_index
2473.8, 0.63723
1374.9, 0.57680
1027.2, 0.65025
774.05, 0.65118
1027.2, 0.50427
780.72, 0.53309
698.36, 0.52566
437.65, 0.54425
347.20, 0.55262
231.04, 0.55727
239.10, 0.46336
424.71, 0.47173
315.95, 0.40757
357.78, 0.35550
360.86, 0.38061
370.26, 0.39549
450.98, 0.38340
491.36, 0.39642
478.88, 0.40571
424.71, 0.39177
454.87, 0.44012
403.41, 0.42617
298.82, 0.17977
245.33, 0.19930
154.41, 0.24765
120.41, 0.24765
181.73, 0.29693
209.35, 0.32854
132.32, 0.35364
115.85, 0.34528
101.00, 0.37038
91.517, 0.30715
150.48, 0.047742
104.08, 0.12399
85.450, 0.079355
41.226, -0.030360
24.226, 0.18349
33.129, 0.22812
35.330, 0.20116
55.181, 0.27275
175.60, 0.32947
